BondID;Type;PresentValue;Issuer;Rating;YearsToMaturity;DeskNotes
B063;Inflation-Linked;5152.40;AgriFund;AAA;2.9;Indexing details unclear
B064;Bond;46302.45;Oceanic Shipping;AA;5.8;Corporate bond
B065;Inflation-Linked;19439.53;Netherlands Gov;BBB+;6.4;Indexing details unclear
B066;Zero-Coupon;2720.91;Healthcare Trust;AA-;3;Issued at discount
B067;Inflation-Linked;23842.28;EuroBank;AA-;8.7;Indexing details unclear
B068;Bond;3117.96;Global Energy;AA;14.7;Standard issue
B069;Inflation-Linked;15080.25;Solar Future;AA-;4.6;Indexing details unclear
B070;Zero-Coupon;265.46;City of Rotterdam;A;2.9;Issued at discount
B071;Zero-Coupon;1699.48;Solar Future;A+;1.8;Issued at discount
B072;Bond;11708.15;Global Energy;A-;7.7;Corporate bond
B073;Bond;1316.46;CityWater;AAA;9.9;Corporate bond
B074;Zero-Coupon;3745.28;EuroBank;BBB+;12.8;Issued at discount
B075;Inflation-Linked;400.42;Green Infrastructure;AAA;4.9;Indexing details unclear
B076;Zero-Coupon;23685.62;Global Energy;BBB+;5.9;Issued at discount
B077;Inflation-Linked;1025.06;Oceanic Shipping;AA;6.9;Indexing details unclear
B078;Zero-Coupon;18869.64;EuroRail;BBB+;4.4;Issued at discount
B079;Zero-Coupon;6984.62;Acme Corp;A-;11.2;Issued at discount
B080;Zero-Coupon;2154.95;Global Energy;BBB+;5.2;Issued at discount
B081;Inflation-Linked;88867.50;Healthcare Trust;A-;5.7;Indexing details unclear
B082;Bond;62932.87;AgriFund;A+;9.3;Corporate bond
B083;Inflation-Linked;48866.25;National Utilities;A-;9.1;Indexing details unclear
B084;Zero-Coupon;1564.64;Acme Corp;AA-;3.5;Issued at discount
B085;Inflation-Linked;22882.26;City of Rotterdam;BBB;8.2;Indexing details unclear
B086;Inflation-Linked;11966.28;Acme Corp;AA;8.8;Indexing details unclear
B087;Zero-Coupon;753.43;Acme Corp;AAA;12.8;Issued at discount
B088;Zero-Coupon;2225.61;National Utilities;AA;5.5;Issued at discount
B089;Inflation-Linked;15419.72;Acme Corp;BBB+;14.7;Indexing details unclear
B090;Zero-Coupon;687.47;TelecomNet;A;10.7;Issued at discount
B091;Inflation-Linked;13964.16;TechHold;AA;11.4;Indexing details unclear
B092;Inflation-Linked;2968.97;City of Rotterdam;AA;3.4;Indexing details unclear
B093;Zero-Coupon;3511.41;CityWater;BBB;10.9;Issued at discount
B094;Bond;2418.55;TechHold;A;2.6;Corporate bond
B095;Zero-Coupon;394.01;EuroRail;BBB+;4.7;Issued at discount
B096;Inflation-Linked;114522.76;Green Infrastructure;AA;8.2;Indexing details unclear
B097;Inflation-Linked;68902.15;EuroBank;A-;11.2;Indexing details unclear
B098;Bond;11382.57;TelecomNet;A+;7.9;Corporate bond
B099;Bond;61821.72;Acme Corp;AA;14.2;Corporate bond
B100;Bond;419.68;CityWater;AA;5;Corporate bond
